SUMMARY STATISTICS FOR: Fsd-Tmax-RCP4.5-Out.OUT

Analysis Start Date: 01/01/2006 
Analysis End Date: 31/12/2100 
Ensemble Member(s): ALL
-
Month,Mean,Maximum,Minimum,Variance,Sum
-
January, 19.2074244142615 , 28.255 , 10.44695 , 6.93101693039945 , 595.430156842105 
February, 21.9233268796992 , 32.5216 , 11.10815 , 9.92116691382883 , 613.853152631579 
March, 26.6819027504244 , 38.02515 , 15.806 , 10.3994921008281 , 827.138985263158 
April, 32.517248368421 , 47.643 , 15.85935 , 20.9064189548767 , 975.517451052631 
May, 40.4393722580645 , 55.3648 , 25.0869 , 19.2635625873874 , 1253.62054 
June, 43.0342546491228 , 55.5311 , 31.13365 , 12.6009546423802 , 1291.02763947368 
July, 37.7426588794567 , 49.0802 , 26.12795 , 11.2296405118282 , 1170.02242526316 
August, 37.5866302716469 , 45.72955 , 29.17975 , 5.73172627492554 , 1165.18553842105 
September, 35.9206175614035 , 45.2387 , 26.3611 , 7.96570482042604 , 1077.61852684211 
October, 33.6700353140917 , 44.0397 , 24.23405 , 8.03666999419241 , 1043.77109473684 
November, 29.3454506666667 , 39.57155 , 20.45215 , 7.07513814700631 , 880.363520000001 
December, 19.9564044482173 , 29.5668 , 7.8657 , 9.02422203059722 , 618.648537894737 
Winter, 20.3103538596491 , 32.5216 , 7.8657 , 9.85497216819267 , 1808.890890625 
Spring, 33.220401916476 , 55.3648 , 15.2359 , 48.9418288524252 , 3056.27697631579 
Summer, 39.415604382151 , 55.5311 , 26.12795 , 16.1658952534859 , 3626.2356031579 
Autumn, 32.9862982591093 , 45.3434 , 20.45215 , 15.0649929153295 , 3001.75314157895 
Annual, 31.5402673107425 , 56.1989 , 7.8657 , 70.5587853587628 , 11512.197568421 
Standard Deviations of Results
January, 4.81820687406177E-02 , 0.85291482575929 , 0.725220688825133 , 0.123065996867019 , 1.49364413095918 
February, 5.19758311871433E-02 , 0.92874390442145 , 1.41122196252042 , 0.260199637481269 , 1.45532327324001 
March, 5.83887955529603E-02 , 0.826578264594467 , 0.829892402664345 , 0.235856769230652 , 1.81005266214177 
April, 7.54028712837694E-02 , 1.41861763699737 , 1.33247162352524 , 0.469807321339211 , 2.26208613851306 
May, 6.91315297083397E-02 , 1.00144673348112 , 1.32900022197139 , 0.525382229805213 , 2.14307742095856 
June, 0.051964335120633 , 1.20207582539539 , 0.913857279612084 , 0.25979175096908 , 1.55893005361903 
July, 4.45119028975953E-02 , 0.632963079492003 , 1.20476821318459 , 0.295547059069843 , 1.37986898982545 
August, 4.53847495217813E-02 , 0.658110893011201 , 0.682294062336761 , 0.13055285324218 , 1.40692723517522 
September, 3.56462832237718E-02 , 0.802047261699708 , 0.713205433237857 , 0.24301116583527 , 1.06938849671314 
October, 4.26694008551401E-02 , 0.880581347747044 , 0.785897479000919 , 0.199963519572558 , 1.32275142650932 
November, 0.034003177848059 , 1.24779535481585 , 0.777980930036206 , 0.167126895018255 , 1.02009533544177 
December, 4.68567699913674E-02 , 0.670895863752342 , 1.0404092992664 , 0.24320196956475 , 1.4525598697324 
Winter, 3.56046109608065E-02 , 0.92874390442145 , 1.0404092992664 , 0.129326327216205 , 3.17103566369686 
Spring, 4.50596199535594E-02 , 1.00144673348112 , 1.01257157277893 , 0.436750937588325 , 4.1454850357276 
Summer, 2.84572307566041E-02 , 1.20207582539539 , 1.20476821318459 , 0.215480829298312 , 2.61806522960754 
Autumn, 2.32914441035457E-02 , 0.764830268752486 , 0.777980930036206 , 0.133614470406351 , 2.11952141342267 
Annual, 1.93353404783684E-02 , 0.963109074819669 , 1.0404092992664 , 0.215743762031739 , 7.0573992746045 
