SUMMARY STATISTICS FOR: Fsd-Tmin-RCP4.5-Out.OUT

Analysis Start Date: 01/01/2006 
Analysis End Date: 31/12/2100 
Ensemble Member(s): ALL
-
Month,Mean,Maximum,Minimum,Variance,Sum
-
January, 5.6443655008489 , 15.8297 ,-3.98295 , 7.95686660142919 , 174.975330526316 
February, 7.59408712406015 , 16.61565 ,-2.0339 , 7.44204120122721 , 212.634439473684 
March, 12.0974858913413 , 23.0406 , 1.2771 , 10.3773884965026 , 375.022062631579 
April, 17.7954141403509 , 29.28975 , 6.33955 , 11.5077029481193 , 533.862424210527 
May, 23.2553343463497 , 34.43115 , 12.1697 , 10.1702214276369 , 720.915364736842 
June, 26.602523754386 , 35.87955 , 16.88005 , 7.56067725447389 , 798.075712631579 
July, 27.3168394397283 , 35.3575 , 19.17065 , 5.81535251821851 , 846.822022631579 
August, 26.9344132597623 , 32.77455 , 21.07265 , 2.99543278574564 , 834.966811052632 
September, 24.6759565614035 , 32.31125 , 16.842 , 5.54275583169621 , 740.278696842105 
October, 18.4423265874363 , 34.6328 , 6.9569 , 17.6512836255234 , 571.712124210526 
November, 14.0732887894737 , 32.86465 ,-3.91275 , 28.7631474480895 , 422.19866368421 
December, 6.77016993208828 , 16.11285 ,-2.7927 , 7.69353146092149 , 209.875267894737 
Winter, 6.63872264327486 , 16.87555 ,-4.08875 , 8.33798941367282 , 591.261235416667 
Spring, 17.715215778032 , 34.43115 , 1.2771 , 31.6561690922084 , 1629.79985157895 
Summer, 26.955049416476 , 35.9853 , 16.88005 , 5.5197927486073 , 2479.86454631579 
Autumn, 19.0570273048005 , 34.948 ,-3.91275 , 36.0514080176619 , 1734.18948473684 
Annual, 17.6475038918529 , 36.11515 ,-4.6481 , 72.6305857955427 , 6441.33892052632 
Standard Deviations of Results
January, 0.048169220198242 , 0.686812936686548 , 0.788734839790915 , 0.207437658987878 , 1.4932458261455 
February, 4.52375829123499E-02 , 0.702171223776651 , 0.660380564523215 , 0.198139532285561 , 1.2666523215458 
March, 5.38943611224534E-02 , 0.52903756010325 , 1.01602041810192 , 0.225170596973173 , 1.67072519479605 
April, 6.24834738852855E-02 , 1.22681240925416 , 1.03007531156707 , 0.31480929106702 , 1.87450421655856 
May, 4.50866336230073E-02 , 0.680894872575788 , 0.644645103913774 , 0.295732987220565 , 1.39768564231324 
June, 3.94226412870315E-02 , 0.566739576437008 , 1.27077411348359 , 0.197616147469282 , 1.18267923861094 
July, 3.59768439749581E-02 , 0.582255914525563 , 0.502729377995756 , 0.178678291734206 , 1.11528216322372 
August, 2.17600073286629E-02 , 0.286319485016302 , 0.311264561908355 , 6.71357879614222E-02 , 0.674560227188549 
September, 3.43524328824675E-02 , 0.482306424900188 , 0.534278017515226 , 0.110504607546882 , 1.03057298647402 
October, 4.39911193450234E-02 , 1.19925124973877 , 0.688381790868992 , 0.398644454547948 , 1.36372469969573 
November, 0.102022855208225 , 1.62915540311537 , 1.6146529619395 , 0.628664881941795 , 3.06068565624674 
December, 6.51953551047334E-02 , 0.581477280295628 , 1.15290928090635 , 0.124785058765078 , 2.02105600824673 
Winter, 3.71774631060173E-02 , 0.568114026846724 , 0.822024079635141 , 0.113788816584496 , 3.31111780787967 
Spring, 3.43362254798845E-02 , 0.680894872575788 , 1.01602041810192 , 0.320877300341567 , 3.15893274414935 
Summer, 1.92919768162688E-02 , 0.551890396727466 , 1.27077411348359 , 0.102482620888092 , 1.77486186709672 
Autumn, 3.48385693304236E-02 , 1.06160614165518 , 1.6146529619395 , 0.341680981217714 , 3.17030980906855 
Annual, 1.71202481780984E-02 , 0.54381010242547 , 1.28221518864815 , 0.255008711006848 , 6.24889058500593 
