SUMMARY STATISTICS FOR: Lhr. Tmax-RCP45-Out.OUT

Analysis Start Date: 01/01/2006 
Analysis End Date: 31/12/2100 
Ensemble Member(s): ALL
-
Month,Mean,Maximum,Minimum,Variance,Sum
-
January, 18.8792770118846 , 29.69025 , 7.8879 , 10.3726312087441 , 585.257587368421 
February, 22.6734068609023 , 33.24355 , 11.95145 , 9.57461268617819 , 634.855392105263 
March, 27.6552914601019 , 39.0043 , 16.42865 , 11.0990333324945 , 857.314035263158 
April, 34.5062062982456 , 49.88805 , 19.3147 , 19.0891702007125 , 1035.18618894737 
May, 39.1787859083192 , 53.2111 , 25.06565 , 17.1120768396613 , 1214.5423631579 
June, 37.8138482807017 , 51.06655 , 24.78695 , 15.0709167776436 , 1134.41544842105 
July, 35.5149663837012 , 46.84905 , 24.5857 , 10.8520089154046 , 1100.96395789474 
August, 35.6085671816638 , 44.0004 , 26.90255 , 6.26921170558514 , 1103.86558263158 
September, 34.6731541052632 , 43.2767 , 26.37585 , 6.04700482173233 , 1040.19462315789 
October, 33.3122254668931 , 43.17315 , 22.6949 , 8.59665278955201 , 1032.67898947368 
November, 28.4617317017544 , 37.58925 , 19.64175 , 6.69757442078526 , 853.851951052631 
December, 22.4663600848896 , 33.0115 , 11.9627 , 9.70148090711413 , 696.457162631579 
Winter, 21.2952238011696 , 33.6844 , 7.8879 , 12.9695956954075 , 1896.60586979167 
Spring, 33.7722020366133 , 53.2111 , 16.3789 , 38.3677693663357 , 3107.04258736842 
Summer, 36.2961411842105 , 51.06655 , 24.16605 , 11.8013948371231 , 3339.24498894737 
Autumn, 32.1618193811452 , 43.5861 , 19.64175 , 14.1744182186921 , 2926.72556368421 
Annual, 30.9303651564528 , 53.2111 , 7.8879 , 51.9399275782367 , 11289.5832821053 
Standard Deviations of Results
January, 7.51538821176146E-02 , 0.683242993012003 , 0.827509208407979 , 0.299312271984734 , 2.32977034564607 
February, 5.29089549636626E-02 , 0.888387442223268 , 1.02899574707576 , 0.177148953665131 , 1.48145073898256 
March, 6.37899906963969E-02 , 0.808916441914738 , 1.05705445815246 , 0.204551393346301 , 1.9774897115883 
April, 9.23457050292304E-02 , 1.00121738273963 , 1.47719701123445 , 0.451541762716267 , 2.77037115087691 
May, 7.25740551763955E-02 , 0.788876663363798 , 0.846020465178 , 0.43630320192052 , 2.24979571046829 
June, 6.92079232164963E-02 , 0.915933811746241 , 0.868051696329199 , 0.37575071543198 , 2.07623769649493 
July, 5.06932768817266E-02 , 1.07682637760226 , 1.25202552290279 , 0.273007727661004 , 1.57149158333351 
August, 3.97976712677252E-02 , 0.67741127832359 , 0.823202616310225 , 0.17068913064255 , 1.23372780929948 
September, 3.57609871709552E-02 , 0.482674331200656 , 0.604911586514922 , 0.169943922919089 , 1.07282961512869 
October, 4.06629374901261E-02 , 0.637459432042542 , 1.11003494990023 , 0.24851601428817 , 1.2605510621939 
November, 4.09869887688559E-02 , 0.82049258832728 , 0.897377951311486 , 0.137491895278838 , 1.22960966306569 
December, 5.60519348882117E-02 , 0.889435298377572 , 0.916412958223529 , 0.315473829800267 , 1.73760998153456 
Winter, 3.58854353528644E-02 , 0.776482672053923 , 0.827509208407979 , 0.176745738820592 , 3.19604658611452 
Spring, 4.33550948883209E-02 , 0.788876663363798 , 1.07396950142916 , 0.332271198202213 , 3.98866872972556 
Summer, 0.033827014139237 , 0.915933811746241 , 1.14514446577714 , 0.169841220937114 , 3.11208530080992 
Autumn, 2.38041416105953E-02 , 0.437046095967004 , 0.897377951311486 , 0.137828132500598 , 2.1661768865642 
Annual, 1.84409111543582E-02 , 0.788876663363798 , 0.827509208407979 , 0.231457066980687 , 6.73093257134092 
