SUMMARY STATISTICS FOR: Lhr. Tmin-RCP8.5-Out.OUT

Analysis Start Date: 01/01/2006 
Analysis End Date: 31/12/2100 
Ensemble Member(s): ALL
-
Month,Mean,Maximum,Minimum,Variance,Sum
-
January, 7.07510994906621 , 15.4985 ,-1.3045 , 5.95924867973137 , 219.328408421053 
February, 10.3226373120301 , 17.78255 , 3.12445 , 4.65906356833392 , 289.033844736842 
March, 14.2101091171477 , 23.1296 , 5.2891 , 6.5556267510216 , 440.513382631579 
April, 19.7012972280702 , 30.23215 , 8.98645 , 9.80303989753993 , 591.038916842105 
May, 26.1159737691002 , 37.3088 , 14.8103 , 10.8717252611551 , 809.595186842105 
June, 27.6864653508772 , 38.01895 , 17.76205 , 8.61477564095964 , 830.593960526316 
July, 26.5797541935484 , 35.695 , 17.0899 , 7.33779113271992 , 823.97238 
August, 28.0366028183362 , 35.27645 , 20.68175 , 4.48403758377935 , 869.134687368421 
September, 26.2904581578947 , 34.69205 , 18.34655 , 5.95466227647736 , 788.713744736842 
October, 20.2904799830221 , 35.52215 , 8.4682 , 15.4039107970945 , 629.004879473684 
November, 14.4684282982456 , 22.28735 , 6.7198 , 5.17206604181714 , 434.052848947368 
December, 8.7953747877759 , 17.05045 , 0.59655 , 5.54516454243387 , 272.656618421053 
Winter, 8.6779874619883 , 17.85095 ,-1.3196 , 7.14483971088275 , 772.883258333333 
Spring, 20.0124726773455 , 37.3088 , 5.2891 , 32.9994678073669 , 1841.14748631579 
Summer, 27.4315329118993 , 38.01895 , 16.9482 , 7.18318478661344 , 2523.70102789474 
Autumn, 20.3491370676692 , 35.7344 , 6.7198 , 31.9559015855512 , 1851.77147315789 
Annual, 19.1716133121846 , 38.27335 ,-1.3196 , 64.7302141938361 , 6997.63885894738 
Standard Deviations of Results
January, 5.24159269901752E-02 , 0.713020581750625 , 0.483015890007772 , 0.124589812733364 , 1.62489373669543 
February, 4.29456741918465E-02 , 0.520785894106206 , 0.576609961325678 , 0.108397975251926 , 1.2024788773717 
March, 6.38533291935477E-02 , 0.665367221915838 , 0.836709800348962 , 0.23547734841343 , 1.97945320499997 
April, 0.046579131421299 , 0.70158871677073 , 0.921992325076516 , 0.206595526171734 , 1.39737394263897 
May, 5.01528381265073E-02 , 1.25470405275507 , 0.992758485231932 , 0.31980397436164 , 1.55473798192174 
June, 5.47381987391361E-02 , 1.06521511794567 , 0.668279393292955 , 0.285561225405617 , 1.64214596217408 
July, 4.73762743933678E-02 , 0.622241030469704 , 0.69228967203043 , 0.17453207255116 , 1.46866450619441 
August, 3.96670210509492E-02 , 0.515605224469264 , 0.478549357433484 , 7.46039958294369E-02 , 1.22967765257943 
September, 0.038401576401566 , 0.611957880495055 , 0.522210635184693 , 0.129597880819758 , 1.15204729204698 
October, 0.050198606324735 , 1.32814243494439 , 0.93767865497728 , 0.279522620985364 , 1.55615679606679 
November, 3.20326903684464E-02 , 0.39783266268621 , 0.721689864138329 , 0.122387113879204 , 0.960980711053393 
December, 4.96412618307207E-02 , 0.651049573765316 , 0.846982318292419 , 0.178686814021217 , 1.53887911675233 
Winter, 2.93534390991061E-02 , 0.527134183581373 , 0.469475707571755 , 0.113280542791206 , 2.61429066976415 
Spring, 3.07577864758728E-02 , 1.25470405275507 , 0.836709800348962 , 0.380317164744515 , 2.82971635578029 
Summer, 2.67140691586554E-02 , 1.06521511794567 , 0.653699518127404 , 0.115602744286171 , 2.45769436259625 
Autumn, 2.49831161988366E-02 , 1.12926035084917 , 0.721689864138329 , 0.190270318253823 , 2.2734635740941 
Annual, 1.51956291533559E-02 , 1.08557603487734 , 0.469475707571755 , 0.232495781155625 , 5.54640464097478 
